offenseTeam,Drive,Kicker_Pts,TwoPointConv,Week,gameid,CompletePass_rolling5,Drive_rolling5,ExPointBad_rolling5,ExPointGood_rolling5,FG_30_rolling5,FG_40_rolling5,FG_50_rolling5,FG_range_rolling5,FieldGoalBad_rolling5,FieldGoalGood_rolling5,IncompletePass_rolling5,Kicker_Pts_rolling5,PointsScored_rolling5,Punt_rolling5,QB Kneel_rolling5,RedZone_rolling5,Touchdown_rolling5,TwoPointConv_rolling5,TwoPointGood_rolling5,Week_rolling5,Yards.Gained_rolling5,gameid_rolling5,FG_range_per_drive,RZ_per_drive,DEF_Drive,DEF_Kicker_Pts,DEF_Week,DEF_gameid,DEF_CompletePass_rolling5,DEF_Drive_rolling5,DEF_ExPointBad_rolling5,DEF_ExPointGood_rolling5,DEF_FG_30_rolling5,DEF_FG_40_rolling5,DEF_FG_50_rolling5,DEF_FG_range_rolling5,DEF_FieldGoalBad_rolling5,DEF_FieldGoalGood_rolling5,DEF_IncompletePass_rolling5,DEF_Kicker_Pts_rolling5,DEF_PointsScored_rolling5,DEF_Punt_rolling5,DEF_QB Kneel_rolling5,DEF_RedZone_rolling5,DEF_Touchdown_rolling5,DEF_TwoPointConv_rolling5,DEF_TwoPointGood_rolling5,DEF_Week_rolling5,DEF_Yards.Gained_rolling5,DEF_gameid_rolling5,DEF_FG_range_per_drive,DEF_RZ_per_drive,defenseTeam,Season
ARI-2009102511,30,6,0,6,2009102511,0,25,0,2,0,0,0,9,0,1,14,6,21,6,1,4,2,0,0,3,454,2009098029,0.36,0.16,30.0,6.0,6.0,2009102511.0,0.0,24.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,13.0,3.0,20.0,6.0,0.0,5.0,2.0,0.0,0.0,4.0,385.0,2009099706.0,0.375,0.20833333333333334,NYG,2009
ATL-2009102509,22,3,0,6,2009102509,0,20,0,3,0,0,0,8,0,0,12,4,28,4,0,4,4,0,0,3,473,2009098026,0.4,0.2,22.0,3.0,6.0,2009102509.0,0.0,23.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,1.0,15.0,8.0,21.0,6.0,0.0,6.0,2.0,0.0,0.0,3.0,467.0,2009097767.0,0.391304347826087,0.2608695652173913,DAL,2009
BUF-2009102507,27,8,0,6,2009102507,0,25,0,1,1,0,0,10,0,1,14,7,12,7,0,5,1,0,0,4,360,2009099707,0.4,0.2,27.0,8.0,6.0,2009102507.0,0.0,21.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,1.0,9.0,6.0,19.0,5.0,1.0,4.0,2.0,0.0,0.0,3.0,389.0,2009098043.0,0.38095238095238093,0.19047619047619047,CAR,2009
CAR-2009102507,26,8,0,6,2009102507,0,21,0,1,0,0,0,10,0,0,12,7,18,4,0,6,2,0,0,3,438,2009098043,0.47619047619047616,0.2857142857142857,26.0,8.0,6.0,2009102507.0,0.0,25.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0,15.0,8.0,16.0,6.0,1.0,5.0,1.0,0.0,0.0,4.0,423.0,2009099707.0,0.4,0.2,BUF,2009
CHI-2009102500,19,4,0,6,2009102500,0,22,0,2,0,0,0,8,0,1,12,7,23,4,0,2,2,0,0,3,435,2009097886,0.36363636363636365,0.09090909090909091,19.0,4.0,6.0,2009102500.0,0.0,23.0,0.0,2.0,1.0,0.0,0.0,10.0,0.0,1.0,12.0,6.0,20.0,5.0,0.0,2.0,2.0,0.0,0.0,4.0,483.0,2009099700.0,0.43478260869565216,0.08695652173913043,CIN,2009
CIN-2009102500,18,9,0,6,2009102500,0,22,0,2,1,0,0,10,0,1,14,8,23,5,0,5,3,0,0,4,485,2009099700,0.45454545454545453,0.22727272727272727,18.0,9.0,6.0,2009102500.0,0.0,21.0,0.0,3.0,1.0,0.0,0.0,9.0,0.0,1.0,13.0,9.0,25.0,3.0,0.0,5.0,3.0,0.0,0.0,3.0,483.0,2009097886.0,0.42857142857142855,0.23809523809523808,CHI,2009
CLE-2009102501,19,3,0,6,2009102501,0,24,0,0,1,0,0,9,0,1,16,4,11,6,0,3,1,0,0,4,355,2009099701,0.375,0.125,19.0,3.0,6.0,2009102501.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,14.0,5.0,18.0,4.0,0.0,4.0,2.0,0.0,0.0,3.0,378.0,2009097902.0,0.38095238095238093,0.19047619047619047,GB,2009
DAL-2009102509,23,13,0,6,2009102509,0,23,0,2,1,1,0,9,0,1,13,9,24,4,1,5,2,0,0,3,528,2009097767,0.391304347826087,0.21739130434782608,23.0,13.0,6.0,2009102509.0,0.0,21.0,0.0,2.0,1.0,0.0,0.0,8.0,0.0,2.0,17.0,10.0,20.0,3.0,1.0,4.0,2.0,0.0,0.0,3.0,464.0,2009098026.0,0.38095238095238093,0.19047619047619047,ATL,2009
GB-2009102501,18,12,0,6,2009102501,0,21,0,2,1,0,0,8,0,2,11,11,25,3,1,5,2,0,0,3,547,2009097902,0.38095238095238093,0.23809523809523808,18.0,12.0,6.0,2009102501.0,0.0,24.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,1.0,13.0,8.0,24.0,4.0,0.0,6.0,2.0,0.0,0.0,4.0,532.0,2009099701.0,0.375,0.25,CLE,2009
HOU-2009102502,22,12,0,6,2009102502,0,24,0,3,1,0,0,9,0,0,12,8,26,5,1,3,3,0,0,4,503,2009099703,0.375,0.125,22.0,12.0,6.0,2009102502.0,0.0,24.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0,14.0,9.0,24.0,6.0,0.0,5.0,3.0,0.0,0.0,3.0,481.0,2009097747.0,0.4166666666666667,0.20833333333333334,SF,2009
