offenseTeam,3rdDown,3rdDownSuccess,Drive,FirstDown,Kicker_Pts,TwoPointConv,Week,gameid,3rdDown_rolling5,3rdDownSuccess_rolling5,CompletePass_rolling5,Drive_rolling5,ExPointBad_rolling5,ExPointGood_rolling5,FG_30_rolling5,FG_40_rolling5,FG_50_rolling5,FG_range_rolling5,FieldGoalBad_rolling5,FieldGoalGood_rolling5,FirstDown_rolling5,IncompletePass_rolling5,Kicker_Pts_rolling5,PointsScored_rolling5,Punt_rolling5,QB Kneel_rolling5,RedZone_rolling5,Touchdown_rolling5,TwoPointConv_rolling5,TwoPointGood_rolling5,Yards.Gained_rolling5,FG_range_per_drive,RZ_per_drive,DEF_3rdDownSuccess,DEF_FirstDown,DEF_Yards.Gained,DEF_3rdDown_rolling5,DEF_3rdDownSuccess_rolling5,DEF_CompletePass_rolling5,DEF_Drive_rolling5,DEF_ExPointGood_rolling5,DEF_FG_range_rolling5,DEF_FieldGoalGood_rolling5,DEF_FirstDown_rolling5,DEF_IncompletePass_rolling5,DEF_Kicker_Pts_rolling5,DEF_PointsScored_rolling5,DEF_RedZone_rolling5,DEF_Touchdown_rolling5,DEF_Yards.Gained_rolling5,DEF_FG_range_per_drive,DEF_RZ_per_drive,offenseTeam,defenseTeam,Season,punts_per_drive,DEF_punts_per_drive,date,mergeCode,mergeCode2,3rdDown_rate,Completion_pct,DEF_Completion_pct,TwoPoint_conv_rate
ARI-2009102511,4,1,30,21.0,6,0,6,2009102511,2,0,0,25,0,2,0,0,0,9,0,1,23,14,6,21,6,1,4,2,0,0,454,0.36,0.16,1.0,21.0,404.0,1.0,0.0,0.0,24.0,2.0,9.0,0.0,19.0,13.0,3.0,20.0,5.0,2.0,385.0,0.375,0.20833333333333334,ARI,NYG,2009,0.24,0.25,10/25,2009-10/25-ARI,2009-6-ARI,0.0,0.0,0.0,
ATL-2009102509,3,0,22,26.0,3,0,6,2009102509,2,0,0,20,0,3,0,0,0,8,0,0,22,12,4,28,4,0,4,4,0,0,473,0.4,0.2,0.0,26.0,462.0,1.0,0.0,0.0,23.0,2.0,9.0,1.0,23.0,15.0,7.0,21.0,6.0,2.0,467.0,0.391304347826087,0.2608695652173913,ATL,DAL,2009,0.2,0.2608695652173913,10/25,2009-10/25-ATL,2009-6-ATL,0.0,0.0,0.0,
BUF-2009102507,1,0,27,15.0,8,0,6,2009102507,1,0,0,25,0,1,1,0,0,10,0,1,22,14,6,12,7,0,5,1,0,0,360,0.4,0.2,0.0,15.0,245.0,0.0,0.0,0.0,21.0,2.0,8.0,1.0,21.0,9.0,6.0,19.0,4.0,2.0,389.0,0.38095238095238093,0.19047619047619047,BUF,CAR,2009,0.28,0.23809523809523808,10/25,2009-10/25-BUF,2009-6-BUF,0.0,0.0,0.0,
CAR-2009102507,0,0,26,30.0,6,0,6,2009102507,2,0,0,21,0,1,0,0,0,10,0,0,24,12,7,18,4,0,6,2,0,0,438,0.47619047619047616,0.2857142857142857,0.0,30.0,492.0,1.0,0.0,0.0,25.0,1.0,10.0,1.0,25.0,15.0,7.0,16.0,5.0,1.0,423.0,0.4,0.2,CAR,BUF,2009,0.19047619047619047,0.24,10/25,2009-10/25-CAR,2009-6-CAR,0.0,0.0,0.0,
CHI-2009102500,3,0,19,21.0,4,0,6,2009102500,2,0,0,22,0,2,0,0,0,8,0,1,19,12,7,23,4,0,2,2,0,0,435,0.36363636363636365,0.09090909090909091,0.0,21.0,435.0,2.0,0.0,0.0,23.0,2.0,10.0,1.0,23.0,12.0,6.0,20.0,2.0,2.0,483.0,0.43478260869565216,0.08695652173913043,CHI,CIN,2009,0.18181818181818182,0.21739130434782608,10/25,2009-10/25-CHI,2009-6-CHI,0.0,0.0,0.0,
CIN-2009102500,4,0,18,24.0,9,0,6,2009102500,2,0,0,22,0,2,1,0,0,10,0,1,24,14,8,23,5,0,5,3,0,0,485,0.45454545454545453,0.22727272727272727,0.0,24.0,489.0,2.0,0.0,0.0,21.0,3.0,9.0,1.0,24.0,13.0,9.0,25.0,5.0,3.0,483.0,0.42857142857142855,0.23809523809523808,CIN,CHI,2009,0.22727272727272727,0.14285714285714285,10/25,2009-10/25-CIN,2009-6-CIN,0.0,0.0,0.0,
CLE-2009102501,3,1,19,17.0,3,0,6,2009102501,2,0,0,24,0,0,1,0,0,9,0,1,20,16,4,11,6,0,3,1,0,0,355,0.375,0.125,1.0,17.0,221.0,3.0,0.0,0.0,21.0,2.0,8.0,0.0,22.0,14.0,5.0,18.0,4.0,2.0,378.0,0.38095238095238093,0.19047619047619047,CLE,GB,2009,0.25,0.19047619047619047,10/25,2009-10/25-CLE,2009-6-CLE,0.0,0.0,0.0,
DAL-2009102509,3,0,23,16.0,13,0,6,2009102509,3,0,0,23,0,2,1,1,0,9,0,1,23,13,9,24,4,1,5,2,0,0,528,0.391304347826087,0.21739130434782608,0.0,16.0,446.0,2.0,0.0,0.0,21.0,2.0,8.0,2.0,23.0,17.0,10.0,20.0,4.0,2.0,464.0,0.38095238095238093,0.19047619047619047,DAL,ATL,2009,0.17391304347826086,0.14285714285714285,10/25,2009-10/25-DAL,2009-6-DAL,0.0,0.0,0.0,
GB-2009102501,3,1,18,24.0,11,0,6,2009102501,3,1,0,21,0,2,1,0,0,8,0,2,24,11,10,25,3,1,5,2,0,0,547,0.38095238095238093,0.23809523809523808,1.0,24.0,521.0,1.0,0.0,0.0,24.0,2.0,9.0,1.0,27.0,13.0,7.0,24.0,6.0,2.0,532.0,0.375,0.25,GB,CLE,2009,0.14285714285714285,0.16666666666666666,10/25,2009-10/25-GB,2009-6-GB,0.3333333333333333,0.0,0.0,
HOU-2009102502,3,0,22,23.0,12,0,6,2009102502,3,0,0,24,0,3,1,0,0,9,0,0,25,12,8,26,5,1,3,3,0,0,503,0.375,0.125,0.0,23.0,411.0,3.0,0.0,0.0,24.0,2.0,10.0,1.0,23.0,14.0,9.0,24.0,5.0,3.0,481.0,0.4166666666666667,0.20833333333333334,HOU,SF,2009,0.20833333333333334,0.25,10/25,2009-10/25-HOU,2009-6-HOU,0.0,0.0,0.0,
