offenseTeam,3rdDown,3rdDownSuccess,CompletePass,Drive,ExPointBad,ExPointGood,FG_30,FG_40,FG_50,FG_range,FieldGoalBad,FieldGoalGood,FirstDown,IncompletePass,Kicker_Pts,PointsScored,Punt,QB Kneel,RedZone,Touchdown,TwoPointConv,TwoPointGood,Week,Yards.Gained,gameid,3rdDown_rolling3,3rdDownSuccess_rolling3,CompletePass_rolling3,Drive_rolling3,ExPointBad_rolling3,ExPointGood_rolling3,FG_30_rolling3,FG_40_rolling3,FG_50_rolling3,FG_range_rolling3,FieldGoalBad_rolling3,FieldGoalGood_rolling3,FirstDown_rolling3,IncompletePass_rolling3,Kicker_Pts_rolling3,PointsScored_rolling3,Punt_rolling3,QB Kneel_rolling3,RedZone_rolling3,Touchdown_rolling3,TwoPointConv_rolling3,TwoPointGood_rolling3,Week_rolling3,Yards.Gained_rolling3,gameid_rolling3,FG_range_per_drive,RZ_per_drive,DEF_3rdDown,DEF_3rdDownSuccess,DEF_CompletePass,DEF_Drive,DEF_ExPointBad,DEF_ExPointGood,DEF_FG_30,DEF_FG_40,DEF_FG_50,DEF_FG_range,DEF_FieldGoalBad,DEF_FieldGoalGood,DEF_FirstDown,DEF_IncompletePass,DEF_Kicker_Pts,DEF_PointsScored,DEF_Punt,DEF_QB Kneel,DEF_RedZone,DEF_Touchdown,DEF_TwoPointConv,DEF_TwoPointGood,DEF_Yards.Gained,DEF_gameid,DEF_3rdDown_rolling3,DEF_3rdDownSuccess_rolling3,DEF_CompletePass_rolling3,DEF_Drive_rolling3,DEF_ExPointGood_rolling3,DEF_FG_range_rolling3,DEF_FieldGoalGood_rolling3,DEF_FirstDown_rolling3,DEF_IncompletePass_rolling3,DEF_Kicker_Pts_rolling3,DEF_PointsScored_rolling3,DEF_QB Kneel_rolling3,DEF_RedZone_rolling3,DEF_Touchdown_rolling3,DEF_Yards.Gained_rolling3,DEF_gameid_rolling3,DEF_FG_range_per_drive,DEF_RZ_per_drive,offenseTeam,defenseTeam,Season,punts_per_drive,DEF_punts_per_drive,date,mergeCode,mergeCode2,3rdDown_rate,Completion_pct,DEF_Completion_pct,TwoPoint_conv_rate
ARI-2009102511,4,1,0,30,0,3,1,0,0,10,0,1,21.0,18,6,24,8,3,5,3,0,0,6,404,2009102511,2,0,0,25,0,2,1,0,0,9,0,1,25,15,5,19,6,0,4,2,0,0,3,465,2009098544,0.36,0.16,4.0,1.0,0.0,30.0,0.0,3.0,1.0,0.0,0.0,10.0,0.0,1.0,21.0,18.0,6.0,24.0,8.0,3.0,5.0,3.0,0.0,0.0,404.0,2009102511.0,1.0,0.0,0.0,24.0,2.0,10.0,0.0,21.0,11.0,3.0,25.0,0.0,5.0,3.0,442.0,2009101104.0,0.4166666666666667,0.20833333333333334,ARI,NYG,2009,0.24,0.25,10/25,2009-10/25-ARI,2009-6-ARI,0.0,0.0,0.0,
ATL-2009102509,3,0,0,22,0,3,0,0,0,10,0,0,26.0,18,3,33,5,0,8,5,0,0,6,462,2009102509,3,0,0,21,0,3,0,0,0,8,0,0,21,12,5,27,4,1,3,3,0,0,3,466,2009098541,0.38095238095238093,0.14285714285714285,3.0,0.0,0.0,22.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,26.0,18.0,3.0,33.0,5.0,0.0,8.0,5.0,0.0,0.0,462.0,2009102509.0,0.0,0.0,0.0,22.0,1.0,10.0,1.0,23.0,14.0,6.0,16.0,0.0,7.0,2.0,446.0,2009098104.0,0.45454545454545453,0.3181818181818182,ATL,DAL,2009,0.19047619047619047,0.2727272727272727,10/25,2009-10/25-ATL,2009-6-ATL,0.0,0.0,0.0,
BUF-2009102507,1,0,0,27,0,2,2,0,0,10,0,2,15.0,11,8,20,8,3,4,2,0,0,6,245,2009102507,1,0,0,25,0,0,1,1,0,9,0,1,23,16,8,11,6,0,4,1,0,0,4,386,2009101106,0.36,0.16,1.0,0.0,0.0,27.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,2.0,15.0,11.0,8.0,20.0,8.0,3.0,4.0,2.0,0.0,0.0,245.0,2009102507.0,0.0,0.0,0.0,21.0,1.0,8.0,1.0,21.0,8.0,6.0,16.0,1.0,5.0,2.0,398.0,2009098569.0,0.38095238095238093,0.23809523809523808,BUF,CAR,2009,0.24,0.19047619047619047,10/25,2009-10/25-BUF,2009-6-BUF,0.0,0.0,0.0,
CAR-2009102507,0,0,0,26,0,1,1,1,0,13,2,0,30.0,18,6,7,6,0,9,1,0,0,6,492,2009102507,2,0,0,21,0,2,0,0,0,9,0,0,21,9,5,21,4,1,5,3,0,0,3,409,2009098569,0.42857142857142855,0.23809523809523808,0.0,0.0,0.0,26.0,0.0,1.0,1.0,1.0,0.0,13.0,2.0,0.0,30.0,18.0,6.0,7.0,6.0,0.0,9.0,1.0,0.0,0.0,492.0,2009102507.0,1.0,0.0,0.0,25.0,1.0,10.0,1.0,24.0,15.0,8.0,16.0,0.0,4.0,1.0,407.0,2009101106.0,0.4,0.16,CAR,BUF,2009,0.19047619047619047,0.24,10/25,2009-10/25-CAR,2009-6-CAR,0.0,0.0,0.0,
CHI-2009102500,3,0,0,19,0,1,1,0,0,10,0,1,21.0,12,4,10,3,0,2,1,0,0,6,435,2009102500,3,0,0,23,0,3,0,0,0,7,0,1,18,11,8,30,4,0,1,3,0,0,3,451,2009098307,0.30434782608695654,0.043478260869565216,3.0,0.0,0.0,19.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0,21.0,12.0,4.0,10.0,3.0,0.0,2.0,1.0,0.0,0.0,435.0,2009102500.0,2.0,0.0,0.0,25.0,2.0,10.0,0.0,26.0,14.0,5.0,22.0,0.0,3.0,3.0,491.0,2009101100.0,0.4,0.12,CHI,CIN,2009,0.17391304347826086,0.24,10/25,2009-10/25-CHI,2009-6-CHI,0.0,0.0,0.0,
CIN-2009102500,4,0,0,18,0,6,1,0,0,7,0,1,24.0,5,9,45,1,0,1,6,0,0,6,489,2009102500,1,0,0,26,0,1,1,0,0,12,0,1,25,16,8,18,6,1,7,2,0,0,4,514,2009101100,0.46153846153846156,0.2692307692307692,4.0,0.0,0.0,18.0,0.0,6.0,1.0,0.0,0.0,7.0,0.0,1.0,24.0,5.0,9.0,45.0,1.0,0.0,1.0,6.0,0.0,0.0,489.0,2009102500.0,2.0,1.0,0.0,24.0,2.0,10.0,2.0,25.0,16.0,9.0,22.0,0.0,7.0,2.0,515.0,2009098307.0,0.4166666666666667,0.2916666666666667,CIN,CHI,2009,0.23076923076923078,0.16666666666666666,10/25,2009-10/25-CIN,2009-6-CIN,0.0,0.0,0.0,
CLE-2009102501,3,1,0,19,0,0,1,0,0,7,0,1,17.0,20,3,3,4,0,3,0,0,0,6,221,2009102501,2,1,0,26,0,1,1,0,0,9,0,1,22,17,5,17,7,0,3,2,0,0,4,382,2009101102,0.34615384615384615,0.11538461538461539,3.0,1.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,17.0,20.0,3.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,221.0,2009102501.0,3.0,0.0,0.0,22.0,2.0,9.0,0.0,23.0,13.0,5.0,17.0,0.0,4.0,2.0,421.0,2009098336.0,0.4090909090909091,0.18181818181818182,CLE,GB,2009,0.2692307692307692,0.18181818181818182,10/25,2009-10/25-CLE,2009-6-CLE,0.5,0.0,0.0,
DAL-2009102509,3,0,0,23,0,3,2,1,0,7,0,3,16.0,8,13,30,3,3,4,3,0,0,6,446,2009102509,2,0,0,23,0,1,1,1,0,10,0,1,26,15,8,18,5,1,5,2,0,0,3,531,2009098104,0.43478260869565216,0.21739130434782608,3.0,0.0,0.0,23.0,0.0,3.0,2.0,1.0,0.0,7.0,0.0,3.0,16.0,8.0,13.0,30.0,3.0,3.0,4.0,3.0,0.0,0.0,446.0,2009102509.0,2.0,1.0,0.0,21.0,1.0,9.0,1.0,24.0,21.0,7.0,16.0,0.0,4.0,1.0,468.0,2009098541.0,0.42857142857142855,0.19047619047619047,DAL,ATL,2009,0.21739130434782608,0.14285714285714285,10/25,2009-10/25-DAL,2009-6-DAL,0.0,0.0,0.0,
GB-2009102501,3,1,0,18,0,4,1,0,1,7,1,1,24.0,7,11,31,2,0,6,4,0,0,6,521,2009102501,3,1,0,22,0,2,2,0,0,8,0,2,23,10,10,26,2,1,5,2,0,0,3,557,2009098336,0.36363636363636365,0.22727272727272727,3.0,1.0,0.0,18.0,0.0,4.0,1.0,0.0,1.0,7.0,1.0,1.0,24.0,7.0,11.0,31.0,2.0,0.0,6.0,4.0,0.0,0.0,521.0,2009102501.0,1.0,0.0,0.0,27.0,1.0,11.0,1.0,28.0,17.0,6.0,17.0,1.0,7.0,2.0,524.0,2009101102.0,0.4074074074074074,0.25925925925925924,GB,CLE,2009,0.09090909090909091,0.2222222222222222,10/25,2009-10/25-GB,2009-6-GB,0.3333333333333333,0.0,0.0,
HOU-2009102502,3,0,0,22,0,3,0,1,1,9,0,1,23.0,11,12,24,5,1,4,3,0,0,6,411,2009102502,4,0,0,27,0,3,1,0,0,10,0,0,27,13,8,27,5,1,3,3,0,0,4,519,2009101103,0.37037037037037035,0.1111111111111111,3.0,0.0,0.0,22.0,0.0,3.0,0.0,1.0,1.0,9.0,0.0,1.0,23.0,11.0,12.0,24.0,5.0,1.0,4.0,3.0,0.0,0.0,411.0,2009102502.0,3.0,1.0,0.0,25.0,3.0,11.0,1.0,23.0,14.0,10.0,30.0,0.0,5.0,4.0,496.0,2009098074.0,0.44,0.2,HOU,SF,2009,0.18518518518518517,0.24,10/25,2009-10/25-HOU,2009-6-HOU,0.0,0.0,0.0,
