offenseTeam,3rdDown,3rdDownSuccess,CompletePass,Drive,ExPointBad,ExPointGood,FG_30,FG_40,FG_50,FG_range,FieldGoalBad,FieldGoalGood,FirstDown,IncompletePass,Kicker_Pts,PointsScored,Punt,QB Kneel,RedZone,Touchdown,TwoPointConv,TwoPointGood,Week,Yards.Gained,gameid,3rdDown_rolling3,3rdDownSuccess_rolling3,CompletePass_rolling3,Drive_rolling3,ExPointBad_rolling3,ExPointGood_rolling3,FG_30_rolling3,FG_40_rolling3,FG_50_rolling3,FG_range_rolling3,FieldGoalBad_rolling3,FieldGoalGood_rolling3,FirstDown_rolling3,IncompletePass_rolling3,Kicker_Pts_rolling3,PointsScored_rolling3,Punt_rolling3,QB Kneel_rolling3,RedZone_rolling3,Touchdown_rolling3,TwoPointConv_rolling3,TwoPointGood_rolling3,Week_rolling3,Yards.Gained_rolling3,gameid_rolling3,FG_range_per_drive,RZ_per_drive,DEF_3rdDownSuccess,DEF_FirstDown,DEF_Yards.Gained,DEF_3rdDown_rolling3,DEF_3rdDownSuccess_rolling3,DEF_CompletePass_rolling3,DEF_Drive_rolling3,DEF_ExPointGood_rolling3,DEF_FG_range_rolling3,DEF_FieldGoalGood_rolling3,DEF_FirstDown_rolling3,DEF_IncompletePass_rolling3,DEF_Kicker_Pts_rolling3,DEF_PointsScored_rolling3,DEF_RedZone_rolling3,DEF_Touchdown_rolling3,DEF_Yards.Gained_rolling3,DEF_FG_range_per_drive,DEF_RZ_per_drive,offenseTeam,defenseTeam,Season,punts_per_drive,DEF_punts_per_drive,date,mergeCode,mergeCode2,3rdDown_rate,Completion_pct,DEF_Completion_pct,TwoPoint_conv_rate
ARI-2009102511,4,1,0,30,0,3,1,0,0,10,0,1,21.0,18,6,24,8,3,5,3,0,0,6,404,2009102511,2,0,0,26,0,3,1,0,0,9,0,1,23,13,6,24,7,1,5,3,0,0,5,451,2009101809,0.34615384615384615,0.19230769230769232,1.0,21.0,404.0,3.0,0.0,0.0,26.0,3.0,10.0,0.0,21.0,10.0,4.0,28.0,5.0,4.0,459.0,0.38461538461538464,0.19230769230769232,ARI,NYG,2009,0.2692307692307692,0.23076923076923078,10/25,2009-10/25-ARI,2009-6-ARI,0.0,0.0,0.0,
ATL-2009102509,3,0,0,22,0,3,0,0,0,10,0,0,26.0,18,3,33,5,0,8,5,0,0,6,462,2009102509,3,0,0,23,0,4,0,0,0,9,0,0,24,14,5,33,4,1,5,4,0,0,5,482,2009101809,0.391304347826087,0.21739130434782608,0.0,26.0,462.0,1.0,0.0,0.0,23.0,2.0,10.0,1.0,25.0,17.0,7.0,23.0,6.0,3.0,440.0,0.43478260869565216,0.2608695652173913,ATL,DAL,2009,0.17391304347826086,0.2608695652173913,10/25,2009-10/25-ATL,2009-6-ATL,0.0,0.0,0.0,
BUF-2009102507,1,0,0,27,0,2,2,0,0,10,0,2,15.0,11,8,20,8,3,4,2,0,0,6,245,2009102507,1,0,0,27,0,1,1,0,0,10,0,2,23,15,8,13,7,1,4,1,0,0,5,331,2009101806,0.37037037037037035,0.14814814814814814,0.0,15.0,245.0,0.0,0.0,0.0,23.0,2.0,9.0,1.0,17.0,8.0,6.0,17.0,4.0,2.0,314.0,0.391304347826087,0.17391304347826086,BUF,CAR,2009,0.25925925925925924,0.21739130434782608,10/25,2009-10/25-BUF,2009-6-BUF,0.0,0.0,0.0,
CAR-2009102507,0,0,0,26,0,1,1,1,0,13,2,0,30.0,18,6,7,6,0,9,1,0,0,6,492,2009102507,2,0,0,23,0,2,0,0,0,10,0,0,23,11,6,19,4,0,5,2,0,0,5,414,2009101805,0.43478260869565216,0.21739130434782608,0.0,30.0,492.0,0.0,0.0,0.0,26.0,0.0,12.0,1.0,26.0,18.0,7.0,8.0,6.0,0.0,420.0,0.46153846153846156,0.23076923076923078,CAR,BUF,2009,0.17391304347826086,0.23076923076923078,10/25,2009-10/25-CAR,2009-6-CAR,0.0,0.0,0.0,
CHI-2009102500,3,0,0,19,0,1,1,0,0,10,0,1,21.0,12,4,10,3,0,2,1,0,0,6,435,2009102500,3,0,0,21,0,3,0,0,0,7,0,1,18,13,6,25,3,0,1,3,0,0,4,438,2009101570,0.3333333333333333,0.047619047619047616,0.0,21.0,435.0,3.0,0.0,0.0,21.0,2.0,9.0,0.0,24.0,11.0,4.0,15.0,2.0,2.0,456.0,0.42857142857142855,0.09523809523809523,CHI,CIN,2009,0.14285714285714285,0.19047619047619047,10/25,2009-10/25-CHI,2009-6-CHI,0.0,0.0,0.0,
CIN-2009102500,4,0,0,18,0,6,1,0,0,7,0,1,24.0,5,9,45,1,0,1,6,0,0,6,489,2009102500,3,0,0,21,0,3,1,0,0,10,0,1,23,11,9,28,4,1,4,3,0,0,5,468,2009101800,0.47619047619047616,0.19047619047619047,0.0,24.0,489.0,3.0,1.0,0.0,22.0,4.0,9.0,1.0,25.0,12.0,6.0,31.0,5.0,4.0,522.0,0.4090909090909091,0.22727272727272727,CIN,CHI,2009,0.19047619047619047,0.13636363636363635,10/25,2009-10/25-CIN,2009-6-CIN,0.0,0.0,0.0,
CLE-2009102501,3,1,0,19,0,0,1,0,0,7,0,1,17.0,20,3,3,4,0,3,0,0,0,6,221,2009102501,3,1,0,22,0,0,1,0,0,7,0,1,18,17,3,7,6,0,3,0,0,0,5,275,2009101802,0.3181818181818182,0.13636363636363635,1.0,17.0,221.0,2.0,0.0,0.0,20.0,1.0,7.0,0.0,19.0,14.0,2.0,12.0,3.0,1.0,304.0,0.35,0.15,CLE,GB,2009,0.2727272727272727,0.2,10/25,2009-10/25-CLE,2009-6-CLE,0.3333333333333333,0.0,0.0,
DAL-2009102509,3,0,0,23,0,3,2,1,0,7,0,3,16.0,8,13,30,3,3,4,3,0,0,6,446,2009102509,3,0,0,23,0,2,1,1,0,10,0,2,22,13,9,22,4,1,5,2,0,0,4,514,2009101341,0.43478260869565216,0.21739130434782608,0.0,16.0,446.0,3.0,0.0,0.0,23.0,2.0,9.0,1.0,20.0,17.0,7.0,18.0,4.0,2.0,442.0,0.391304347826087,0.17391304347826086,DAL,ATL,2009,0.17391304347826086,0.17391304347826086,10/25,2009-10/25-DAL,2009-6-DAL,0.0,0.0,0.0,
GB-2009102501,3,1,0,18,0,4,1,0,1,7,1,1,24.0,7,11,31,2,0,6,4,0,0,6,521,2009102501,3,1,0,20,0,2,1,0,0,7,0,2,24,8,10,24,2,0,5,2,0,0,4,568,2009101600,0.35,0.25,1.0,24.0,521.0,2.0,0.0,0.0,22.0,2.0,9.0,1.0,26.0,12.0,7.0,22.0,6.0,2.0,489.0,0.4090909090909091,0.2727272727272727,GB,CLE,2009,0.1,0.13636363636363635,10/25,2009-10/25-GB,2009-6-GB,0.3333333333333333,0.0,0.0,
HOU-2009102502,3,0,0,22,0,3,0,1,1,9,0,1,23.0,11,12,24,5,1,4,3,0,0,6,411,2009102502,4,0,0,24,0,3,0,0,0,9,0,0,27,13,8,26,5,1,4,3,0,0,5,503,2009101803,0.375,0.16666666666666666,0.0,23.0,411.0,3.0,0.0,0.0,23.0,3.0,10.0,0.0,23.0,11.0,8.0,27.0,5.0,3.0,442.0,0.43478260869565216,0.21739130434782608,HOU,SF,2009,0.20833333333333334,0.21739130434782608,10/25,2009-10/25-HOU,2009-6-HOU,0.0,0.0,0.0,
