,Season,Week,Date,OffenseTeam,DefenseTeam,Relative_Line,Total,Exp_Pts,mergeCode,mergeCode2
0,2017,6,10/12,CAR,PHI,-3.0,43.5,40.5,2017-10/12-CAR,2017-6-CAR
1,2017,6,10/15,HOU,CLE,-7.5,46.0,38.5,2017-10/15-HOU,2017-6-HOU
2,2017,6,10/15,NE,NYJ,-9.5,48.5,39.0,2017-10/15-NE,2017-6-NE
3,2017,6,10/15,ATL,MIA,-13.5,46.0,32.5,2017-10/15-ATL,2017-6-ATL
4,2017,6,10/15,NO,DET,-5.5,50.5,45.0,2017-10/15-NO,2017-6-NO
5,2017,6,10/15,GB,MIN,-3.0,46.0,43.0,2017-10/15-GB,2017-6-GB
6,2017,6,10/15,BAL,CHI,-5.5,39.0,33.5,2017-10/15-BAL,2017-6-BAL
7,2017,6,10/15,WAS,SF,-11.0,46.5,35.5,2017-10/15-WAS,2017-6-WAS
8,2017,6,10/15,JAX,LAR,-1.0,42.0,41.0,2017-10/15-JAX,2017-6-JAX
9,2017,6,10/15,TB,ARI,-2.5,47.0,44.5,2017-10/15-TB,2017-6-TB
10,2017,6,10/15,KC,PIT,-3.5,46.0,42.5,2017-10/15-KC,2017-6-KC
11,2017,6,10/15,OAK,LAC,-3.0,48.0,45.0,2017-10/15-OAK,2017-6-OAK
12,2017,6,10/15,DEN,NYG,-13.5,37.5,24.0,2017-10/15-DEN,2017-6-DEN
13,2017,6,10/16,TEN,IND,-7.0,46.5,39.5,2017-10/16-TEN,2017-6-TEN
16,2016,6,10/13,DEN,SD,-3.0,44.5,41.5,2016-10/13-DEN,2016-6-DEN
17,2016,6,10/16,NE,CIN,-7.5,48.5,41.0,2016-10/16-NE,2016-6-NE
18,2016,6,10/16,NYG,BAL,-3.5,42.5,39.0,2016-10/16-NYG,2016-6-NYG
19,2016,6,10/16,CAR,NO,-3.0,54.0,51.0,2016-10/16-CAR,2016-6-CAR
20,2016,6,10/16,PIT,MIA,-7.5,49.5,42.0,2016-10/16-PIT,2016-6-PIT
