,Season_x,Week_x,Date,OffenseTeam,DefenseTeam,Relative_Line,Total,Exp_Pts,mergeCode,offenseTeam,TwoPointConv,Week_y,gameid,Drive_rolling5,ExPointGood_rolling5,FG_30_rolling5,FG_40_rolling5,FG_50_rolling5,FG_range_rolling5,FieldGoalBad_rolling5,FieldGoalGood_rolling5,IncompletePass_rolling5,Kicker_Pts_rolling5,PointsScored_rolling5,Punt_rolling5,QB Kneel_rolling5,RedZone_rolling5,Touchdown_rolling5,TwoPointConv_rolling5,Week_rolling5,Yards.Gained_rolling5,gameid_rolling5,FG_range_per_drive,RZ_per_drive,DEF_Drive_rolling5,DEF_ExPointGood_rolling5,DEF_FG_30_rolling5,DEF_FG_40_rolling5,DEF_FG_50_rolling5,DEF_FG_range_rolling5,DEF_FieldGoalGood_rolling5,DEF_IncompletePass_rolling5,DEF_Kicker_Pts_rolling5,DEF_PointsScored_rolling5,DEF_Punt_rolling5,DEF_QB Kneel_rolling5,DEF_RedZone_rolling5,DEF_Touchdown_rolling5,DEF_Week_rolling5,DEF_Yards.Gained_rolling5,DEF_gameid_rolling5,DEF_FG_range_per_drive,DEF_RZ_per_drive,defenseTeam,Season_y,Kicker_Pts,date
126,2017,7.0,10/19,KC,OAK,-3.0,46.5,43.5,2017-10/19-KC,KC,0.0,6.0,2017101900,19.0,2.0,1.0,1.0,0.0,8.0,0.0,2.0,11.0,13.0,25.0,3.0,0.0,4.0,2.0,0.0,4.0,440.0,2017099366.0,0.42105263157894735,0.21052631578947367,21.0,2.0,2.0,0.0,0.0,8.0,2.0,9.0,12.0,22.0,4.0,1.0,4.0,2.0,4.0,411.0,2017099348.0,0.3809523809523809,0.19047619047619047,OAK,2017,14.0,10/19
127,2017,7.0,10/22,TEN,CLE,-6.0,42.5,36.5,2017-10/22-TEN,TEN,0.0,6.0,2017102202,25.0,1.0,1.0,1.0,0.0,11.0,0.0,2.0,11.0,12.0,24.0,5.0,0.0,3.0,2.0,0.0,4.0,380.0,2017099424.0,0.44,0.12,24.0,2.0,0.0,1.0,0.0,10.0,1.0,9.0,9.0,24.0,5.0,1.0,5.0,2.0,4.0,341.0,2017099402.0,0.4166666666666667,0.20833333333333331,CLE,2017,20.0,10/22
128,2017,7.0,10/22,JAX,IND,-3.0,41.5,38.5,2017-10/22-JAX,JAX,0.0,6.0,2017102204,24.0,2.0,1.0,1.0,0.0,10.0,0.0,2.0,13.0,12.0,25.0,5.0,1.0,4.0,2.0,0.0,4.0,422.0,2017099405.0,0.4166666666666667,0.16666666666666666,22.0,3.0,1.0,1.0,0.0,10.0,2.0,14.0,11.0,30.0,3.0,0.0,4.0,3.0,4.0,490.0,2017099425.0,0.4545454545454545,0.18181818181818185,IND,2017,10.0,10/22
129,2017,7.0,10/22,PIT,CIN,-4.0,40.0,36.0,2017-10/22-PIT,PIT,0.0,6.0,2017102208,22.0,1.0,1.0,0.0,0.0,9.0,0.0,2.0,15.0,10.0,22.0,3.0,1.0,3.0,2.0,0.0,4.0,448.0,2017099405.0,0.4090909090909091,0.13636363636363635,22.0,1.0,1.0,0.0,0.0,9.0,2.0,16.0,10.0,19.0,6.0,0.0,4.0,1.0,3.0,395.0,2017097384.0,0.4090909090909091,0.18181818181818185,CIN,2017,19.0,10/22
130,2017,7.0,10/22,MIN,BAL,-5.0,38.0,33.0,2017-10/22-MIN,MIN,0.0,6.0,2017102207,22.0,1.0,1.0,0.0,0.0,9.0,0.0,2.0,13.0,11.0,21.0,4.0,0.0,4.0,2.0,0.0,4.0,426.0,2017099424.0,0.4090909090909091,0.18181818181818185,23.0,2.0,1.0,1.0,0.0,9.0,2.0,12.0,13.0,28.0,4.0,1.0,4.0,3.0,4.0,437.0,2017099403.0,0.39130434782608703,0.17391304347826084,BAL,2017,24.0,10/22
131,2017,7.0,10/22,MIA,NYJ,-3.0,39.5,36.5,2017-10/22-MIA,MIA,0.0,6.0,2017102206,22.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,15.0,4.0,13.0,6.0,0.0,3.0,1.0,0.0,4.0,318.0,2017099403.0,0.4090909090909091,0.13636363636363635,24.0,2.0,1.0,0.0,0.0,10.0,0.0,19.0,7.0,17.0,5.0,0.0,4.0,2.0,4.0,392.0,2017099405.0,0.4166666666666667,0.16666666666666666,NYJ,2017,7.0,10/22
132,2017,7.0,10/22,BUF,TB,-3.0,46.0,43.0,2017-10/22-BUF,BUF,0.0,6.0,2017102200,21.0,1.0,1.0,0.0,1.0,9.0,0.0,2.0,10.0,13.0,18.0,4.0,1.0,3.0,1.0,0.0,3.0,349.0,2017097440.0,0.42857142857142855,0.14285714285714285,22.0,3.0,1.0,0.0,0.0,9.0,2.0,12.0,12.0,30.0,3.0,1.0,3.0,3.0,4.0,489.0,2017099344.0,0.4090909090909091,0.13636363636363635,TB,2017,18.0,10/22
133,2017,7.0,10/22,CAR,CHI,-3.0,39.5,36.5,2017-10/22-CAR,CAR,0.0,6.0,2017102201,21.0,1.0,1.0,0.0,0.0,9.0,0.0,2.0,14.0,9.0,22.0,3.0,0.0,3.0,2.0,0.0,4.0,421.0,2017099342.0,0.42857142857142855,0.14285714285714285,23.0,2.0,1.0,0.0,0.0,9.0,1.0,14.0,7.0,21.0,5.0,0.0,4.0,2.0,4.0,412.0,2017097961.0,0.39130434782608703,0.17391304347826084,CHI,2017,3.0,10/22
134,2017,7.0,10/22,NO,GB,-4.0,45.5,41.5,2017-10/22-NO,NO,0.0,6.0,2017102203,21.0,3.0,0.0,1.0,0.0,8.0,0.0,2.0,11.0,13.0,29.0,3.0,0.0,3.0,3.0,0.0,3.0,481.0,2017097582.0,0.3809523809523809,0.14285714285714285,21.0,2.0,0.0,1.0,0.0,9.0,1.0,12.0,9.0,23.0,3.0,1.0,2.0,2.0,4.0,447.0,2017097945.0,0.42857142857142855,0.09523809523809523,GB,2017,9.0,10/22
136,2017,7.0,10/22,DAL,SF,-6.5,48.0,41.5,2017-10/22-DAL,DAL,1.0,6.0,2017102209,21.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,14.0,5.0,34.0,3.0,0.0,2.0,4.0,0.0,3.0,420.0,2017097466.0,0.42857142857142855,0.09523809523809523,24.0,2.0,1.0,0.0,0.0,10.0,2.0,14.0,12.0,35.0,3.0,1.0,3.0,4.0,4.0,484.0,2017099345.0,0.4166666666666667,0.125,SF,2017,4.0,10/22
